"0.00,0.00,0.00,0.000"
"217.30,0.00,0.00,0.001"
"217.30,0.00,0.00,0.001"
"217.20,0.00,0.00,0.001"
"217.50,0.00,0.00,0.001"
"217.60,0.00,0.00,0.001"
"217.60,0.00,0.00,0.001"
"217.70,0.00,0.00,0.001"
"217.70,0.00,0.00,0.001"
"217.70,0.00,0.00,0.001"
"217.70,0.00,0.00,0.001"
"217.80,0.00,0.00,0.001"
"217.90,0.02,2.20,0.001"
"217.50,0.08,11.00,0.001"
"217.50,0.08,11.00,0.001"
"217.70,0.12,16.30,0.001"
"217.70,0.12,16.70,0.001"
"217.70,0.12,16.60,0.001"
"217.70,0.12,17.10,0.001"
"217.70,0.12,16.80,0.001"
"217.70,0.12,16.80,0.001"
"217.90,0.11,15.90,0.001"
"218.00,0.11,15.80,0.001"
""
